Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,Load Cell,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,High Press PT,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
47.775,-1.72,-1.76,-1.12,0.00,-1.46,0.00,-5.89,-3.07,0.02,-1.28,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.76,1.71,0.13,-2.48,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.79 °C,29.79 °C,29.79 °C,29.69 °C,29.79 °C,29.69 °C,29.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
48.776,-1.72,-1.76,-1.12,0.00,-1.53,0.00,-5.81,-3.07,0.02,-1.28,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.75,1.71,0.13,-2.48,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.79 °C,29.69 °C,29.69 °C,29.79 °C,30.00 °C,29.79 °C,29.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49.777,-1.72,-1.76,-1.12,0.00,-1.46,0.00,-5.81,-3.07,0.02,-1.28,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,1.75,1.71,0.13,-2.48,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.79 °C,29.79 °C,29.89 °C,29.69 °C,30.00 °C,29.69 °C,29.79 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
