Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P5- DOME Reg.,Not Use,Load Cell,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,LOX MV PT,FUEL MV PT,Load Cell 1,Load Cell 2,Load Cell 3,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,High Press PT,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
50.288,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-3.07,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-19.82,-15.30,-17.98,-0.00,-126.27,-4.39,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
51.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-5.97,-2.93,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-19.97,-15.15,-17.98,-0.00,-126.27,-4.39,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.49 °C,29.39 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
52.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.93,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-19.13,-15.45,-17.83,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
53.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-5.97,-2.93,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-21.81,-14.92,-17.83,-0.00,-126.27,-4.39,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
54.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-5.97,-2.93,-641.18,-124.52,-124.52,-124.52,0.00,0.00,-0.15,0.92,-18.98,-15.15,-17.60,-0.00,-126.20,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,29.39 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
55.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-5.97,-2.93,-641.18,-124.78,-124.52,-124.52,0.00,0.00,0.92,0.92,-17.98,-14.08,-17.29,-0.00,-126.20,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49 °C,29.39 °C,29.39 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
56.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.93,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-18.82,-14.92,-17.45,-0.00,-126.20,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,29.39 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
57.289,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-18.13,-15.30,-17.29,-0.00,-126.20,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
58.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-641.18,-124.52,-124.52,-124.52,0.00,0.00,0.92,0.92,-17.98,-15.15,-17.45,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
59.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-640.05,-124.52,-124.30,-124.52,0.00,0.00,1.83,0.92,-14.31,-16.60,-18.13,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.39 °C,29.30 °C,29.39 °C,29.30 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
60.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-640.05,-124.52,-124.30,-124.52,0.00,0.00,1.83,0.92,-16.14,-16.30,-18.29,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.30 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
61.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-640.05,-124.52,-124.30,-124.52,0.00,0.00,1.83,0.92,-15.91,-16.14,-18.13,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.30 °C,29.30 °C,29.39 °C,29.39 °C,29.39 °C,29.30 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
62.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-5.97,-2.84,-640.05,-124.52,-124.30,-124.52,0.00,0.00,1.83,0.92,-17.29,-16.76,-17.98,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.39 °C,29.39 °C,29.30 °C,29.49 °C,29.39 °C,29.49 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
63.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-641.18,-124.52,-124.30,-124.52,0.00,0.00,1.83,0.92,-17.29,-16.99,-17.60,-0.00,-126.20,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.30 °C,29.39 °C,29.30 °C,29.39 °C,29.30 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
64.290,-124.90,-124.91,-63.83,0.00,-1.46,0.00,-6.08,-2.84,-641.18,-124.52,-124.30,-124.52,0.00,0.00,1.83,0.92,-17.45,-16.76,-17.83,-0.00,-126.27,-4.27,0.00,0.00,-1035.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.39 °C,29.30 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,29.39 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
